,0,1,2,3,4,5,6,7,8,9,10,11
332,331,UP:42547, Govt. UPS Edanila ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  1 - 7,04722878427 ,  ,Location map
333,332,UP:42548, Govt. UPS Karakulam ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  1 - 7,04712371449 ,  ,Location map
334,333,UP:42549, Govt. UPS Kazhunad ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  1 - 7,04712372786 ,  ,Location map
335,334,UP:42550, Govt. UPS Perayam ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722842559 ,  ,Location map
336,335,UP:42551, Govt. UPS Ramapuram ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722802814 ,  ,Location map
337,336,UP:42552, Govt. UPS Venkottumukku ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  1 - 7,04722587647 ,  ,Location map
338,337,UP:42553, KKVUPS Vettampally ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 -7,9495271594 ,  ,Location map
339,338,UP:42554, Luthergiri UPS Aryanad ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 7,2853265 ,  ,Location map
340,339,UP:42555, NSS UPS Kokkottela ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 7,04722851755 ,  ,Location map
341,340,UP:42556, Panchayath UPS Attinpuram ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722865083 ,  ,Location map
342,341,UP:42557, S H U P S Chullimanoor ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 7,04722848175 ,  ,Location map
343,342,UP:42558, St:TheresasUPS Manickapuram ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 7,04722898995 ,  ,Location map
344,343,HS:42559, Daleview H S Punalal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Unaided Recognised,  1 -10,04712854650 ,  ,Not Available
345,344,UP:42560, Govt. Town UPS Nedumangad ,,Nedumangad(M),"Attingal *
",Nedumangad,Government,  5 -7,04722813820 ,  ,Location map
346,345,UP:42561, St:Ritas UPS Aruviode ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  5 -7,04712540102 ,  ,Location map
347,346,UP:42562, PSNMUPS Veliyanoor ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  5 -7,047222882301 ,  ,Location map
348,347,UP:42563, Panchayath UPS Parantode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 -7,04722891855 ,  ,Location map
349,348,LP:42564, GOVT.L.P.S ANAD ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9447461725 ,  ,Not Available
350,349,LP:42565, SNEM LPS Uzhamalakkal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Unaided Recognised,  1 - 4,04722898227 ,  ,Not Available
351,350,HS:42567, CHRISTU JYOTHI ENGLISH MEDIUM SCHOOL ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Unaided Recognised,  1 - 12,04722878903 ,  ,Not Available
352,351,LP:42601, Govt. L.P.S. Aruvippuram ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722820268 ,  ,Location map
353,352,LP:42602, Govt. T.S. Adappupara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9539967077 ,  ,Location map
354,353,LP:42603, Govt.L.P.S. Bharathannoor ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722868453 ,  ,Location map
355,354,LP:42604, Govt. L.P.S. Chayam ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 4,04722856066 ,  ,Location map
356,355,LP:42605, Govt. T.S. Chettiampara ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 4,047122891626 ,  ,Location map
357,356,LP:42606, Govt. L.P.S. Devappura ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722845505 ,  ,Location map
358,357,LP:42607, Govt. L.P.S. Kanjirampara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722863045 ,  ,Location map
359,358,LP:42608, Govt. L.P.S. Kadukkakunnu ,Vellanad,Thiruvananthapuram(P),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 - 4,04722891155 ,  ,Location map
360,359,LP:42609, Govt. L.P.S. Kanchinada ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722869109 ,  ,Location map
361,360,LP:42610, Govt. L.P.S. Kallar ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 4,0472856426 ,  ,Location map
362,361,LP:42611, Govt. L.P.S. Kollayil ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04742443200 ,  ,Location map
363,362,LP:42612, Govt. L.P.S. Karimancode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722841116 ,  ,Location map
364,363,LP:42613, Govt. L.P.S. Kurumpayam ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9745621687 ,  ,Location map
365,364,LP:42614, Govt. L.P.S. Kurupuzha ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722878769 ,  ,Location map
366,365,LP:42615, Govt. T.S. Methotty ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 4,9074560698 ,  ,Location map
367,366,LP:42616, Govt. L.P.S. Muthuvila ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722821975 ,  ,Location map
368,367,LP:42617, Govt. W.S. Maruthamala ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 4,04722856230 ,  ,Location map
369,368,LP:42618, Govt. L.P.S. Pacha ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722841780 ,  ,Location map
370,369,LP:42619, Govt. L.P.S. Palode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722840206 ,  ,Location map
371,370,LP:42620, Govt. L.P.S. Parappil ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,2821197 ,  ,Location map
372,371,LP:42621, Govt. L.P.S. Thengumcode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722821017 ,  ,Location map
373,372,LP:42622, Govt. T.S. Thannimoodu ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04742443400 ,  ,Location map
374,373,LP:42623, Govt. T.S. Thalathoothakkavu ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 4,9745870085 ,  ,Location map
375,374,LP:42624, D.B.L.P.S. Pacha ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,04722841848 ,  ,Location map
376,375,LP:42625, Panchayat L.P.S. Elavattom ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722840119 ,  ,Location map
377,376,LP:42626, Sreya LPS Eattimoodu ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,04722835336 ,  ,Location map
378,377,LP:42627, Modern L.P.S. Manalayam ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 4,9446848641 ,  ,Location map
379,378,LP:42628, Panchayat L.P.S. Chellanchi ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722841060 ,  ,Location map
380,379,LP:42629, St. Victors L.P.S. Parantode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 4,9961257070 ,  ,Location map
381,380,LP:42630, S.K.V.L.P.S. Parapparamukal ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,04722835165 ,  ,Location map
382,381,LP:42631, S.N.V.L.P.S. Thumpode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,04722861515 ,  ,Location map
383,382,LP:42632, S.N.L.P.S. Kakkanikkara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,9446657504 ,  ,Location map
384,383,LP:42633, St. George L.P.S. Palode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,9447927406 ,  ,Location map
385,384,LP:42634, S.H.LP.S. Thevanpara ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 4,04722865214 ,  ,Location map
386,385,LP:42635, S.K.V.L.P.S. Venkattamoodu ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,9495718726 ,  ,Location map
387,386,LP:42636, Jawahar L.P.S. Thennoor ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,04722849133 ,  ,Location map
388,387,LP:42637, K.V.L.P.S. Themala ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  1 - 4,9526272439 ,  ,Location map
389,388,LP:42638, T.K.M.L.P.S. Manthuruthy ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,9995377799 ,  ,Location map
390,389,LP:42639, Taj L.P.S. V.K.Poika ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 4,04722869763 ,  ,Location map
391,390,LP:42640, Iqbal E.M.L.P.S. Devappura ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Unaided Recognised,  1 - 4,04722849301 ,  ,Not Available
392,391,LP:42641, Govt. L.P.S. Pangode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 5,04722869022 ,  ,Location map
393,392,UP:42643, Govt. U.P.S. Anachal ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722837180 ,  ,Location map
394,393,UP:42646, Govt. U.P.S. Njaraneelikkani ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722845310 ,  ,Location map
395,394,UP:42647, Govt. U.P.S. Paluvally ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722842212 ,  ,Location map
396,395,UP:42648, Govt. U.P.S. Peringammala ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722846467 ,  ,Location map
397,396,UP:42649, Govt. U.P.S. Ponmudi ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,0472890229 ,  ,Location map
398,397,UP:42650, Govt. U.P.S. Tholicode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 7,04722856435 ,  ,Location map
399,398,UP:42651, Govt. U.P.S. Vamanapuram ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,04722837502 ,  ,Location map
400,399,UP:42652, Govt. U.P.S. V.V.Dayini ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 7,04722859441 ,  ,Location map
401,400,UP:42653, Govt. U.P.S. Vithura ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 - 7,04722856204 ,  ,Location map
402,401,UP:42654, U.P.S. Anakudy ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 7,0472835170 ,  ,Location map
403,402,UP:42655, St. Josephs U.P.S. Perayam ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 7,04722842931 ,  ,Location map
404,403,UP:42656, U.P.S. Karimancode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 -7,9497001936 ,  ,Location map
405,404,UP:42657, Q.A.M.U.P.S. Kochukarikkakam ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 -7,09846822314 ,  ,Location map
406,405,UP:42658, S.N.U.P.S. Kollayil ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 -7,04742443935 ,  ,Location map
407,406,UP:42659, S.K.V.U.P.S. Muthuvila ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 -7,2820101 ,  ,Location map
408,407,UP:42660, K.V.U.P.S. Pangode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 -7,04722860460 ,  ,Location map
409,408,UP:42661, Panchayat U.P.S. Thengumcode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  5 -7,2820095 ,  ,Location map
410,409,UP:42662, U.P.S. Vinobaniketan ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Aided,  5 -7,8281007599 ,  ,Location map
411,410,UP:42664, Nalanda T.T.I. Nanniyode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  1 - 7,04722840244 ,  ,Location map
412,411,UP:42665, A.R.R Public school ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Unaided Recognised,  1 - 7,04722878938 ,  ,Not Available
413,412,LP:42666,  MGLC Adipparampu ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9744834924 ,  ,Not Available
414,413,LP:42667,  M G L C Pottamavu ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9495729048 ,  ,Not Available
415,414,LP:42668,  MGLC Chennillimoodu ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9495829135 ,  ,Not Available
416,415,LP:42669,   M G L C   Podiyakala ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,9539688350 ,  ,Not Available
417,416,LP:42670,  M G L C  Sasthanada ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 4,9447905373 ,  ,Not Available
418,417,HS:43001, St. Augustine`s H. S. Murukkumpuzha ,Pothencode,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 10,04712422320 ,  ,Location map
419,418,HS:43002, Govt. H. S. Veiloor ,Pothencode,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 -10,04712423180 ,  ,Location map
420,419,HS:43003, Govt. V. H. S. S. Pirappancode ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  5 - 12,04722583354 ,  ,Location map
421,420,HS:43004, Govt. H. S. S. Thonnackal ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  5 - 12,04712429761 ,  ,Location map
422,421,HS:43005, Muslim H. S. For Boys Kaniyapuram ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  5 - 10,04712750648 ,  ,Location map
423,422,HS:43006, Muslim Girls H. S. S. Kaniyapuram ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  5 - 12,04712750925 ,  ,Location map
424,423,HS:43007, St. Vincent`s H. S. S. Kaniyapuram ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  8 - 10,04712752633 ,  ,Location map
425,424,HS:43008, Govt. H S S Kazhakuttom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 - 12,04712418167 ,  ,Location map
426,425,HS:43009, Al-Uthuman E. M. H. S. S. Kazhakuttom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,2418428 ,  ,Not Available
427,426,HS:43010, Pallithura H S S ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  1 - 12,2706404 ,  ,Location map
428,427,HS:43011, Our Lady of Mercy H. S. S. Puthukurichi ,Kazhakuttom,Thiruvananthapuram(P),"Thiruvananthapuram
",Kazhakkoottam,Unaided Recognised,  1 - 12,04712428311 ,  ,Not Available
429,428,HS:43012, St. Michael's H S S  Kadinamkulam ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  5 - 12,04712428668 ,  ,Location map
430,429,HS:43013, Govt. Boys H. S. S. Kanniakulangara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  5 - 10,04722832200 ,  ,Location map
431,430,HS:43014, Govt. Girls H. S. S. Kanniakulangara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  5 - 12,04722832346 ,  ,Location map
432,431,HS:43015," GOVT. H S S, NEDUVELI, KONCHIRA,  VEMBAYAM ",Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  8 - 12,04722832016 ,  ,Location map
433,432,HS:43016, Lourd Mount H. S. Vattappara ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Unaided Recognised,  1 - 12,04722585034 ,  ,Not Available
434,433,HS:43017, Govt. H. S. S. AYIROORPPARA ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  1 - 12,04712419645 ,  ,Location map
435,434,HS:43018, L. V. H. S. Pothencode ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Aided,  8 - 10,04712419620 ,  ,Location map
436,435,HS:43019, M. V. H. S. S Thundathil ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  5 - 12,04712713335 ,  ,Location map
437,436,HS:43020, S. N. V. H. S. Chenkottukonam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Unaided Recognised,  1 -10,04712713420 ,  ,Not Available
438,437,HS:43021, Jyothi Nilayam H. S. S. St. Andrews ,Kazhakuttom,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Unaided Recognised,  5 - 12,04712704296 ,  ,Not Available
439,438,HS:43022, S. N. G. H. S. Chempazhanthy ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  5 - 12,04712591425 ,  ,Location map
440,439,HS:43024, Govt. H. S. S. Kulathoor ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  5 - 12,04712418810 ,  ,Location map
441,440,HS:43025, Holy Trinity Eng. Medium H. S. Kattela ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712598279 ,  ,Not Available
442,441,HS:43026, Govt. H. S. Sreekariam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04712591194 ,  ,Location map
443,442,HS:43027, St. John`s Model H. S. S. Nalanchira ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Aided,  8 - 12,2530376 ,  ,Location map
444,443,HS:43028, Sarvodaya Vidyalaya Nalanchira ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  8 - 10,04712530831 ,  ,Not Available
445,444,HS:43029, G. H. S. Mannanthala ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04715241819 ,  ,Location map
446,445,HS:43030, St. Thomas H. S. S. Mukkolackal ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  5 - 12,2511110 ,  ,Not Available
447,446,HS:43031, St. Goretti's Girls H. S. S. Nalanchira ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 10,04712532099 ,  ,Location map
448,447,HS:43032, Govt. H. S. Kattachakonam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04712530710 ,  ,Location map
449,448,HS:43033, Govt. H. S. S. Medical College ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  8 - 12,04712443239 ,  ,Location map
450,449,HS:43034, St. Mary`s H. S. S. Pattom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 12,04712447395 ,  ,Location map
451,450,HS:43035, Govt. Model Girls H. S. S Pattom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 - 12,04712553678 ,  ,Location map
452,451,HS:43036, Govt City V. and H. S. S. P. M. G ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  8 - 12,04712303397 ,  ,Location map
453,452,HS:43037, Govt. H. S. Katchani ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 -10,2369391 ,  ,Location map
454,453,HS:43038, Govt. V And H S S Vattiyoorkave ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  5 - 12,04712360524 ,  ,Location map
455,454,HS:43039, P. S. N. M. Govt. H. S. S. Peroorkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  1 - 12,04712436025 ,  ,Location map
456,455,HS:43040, G. G. H. S. S. Peroorkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Government,  5 - 12,04712438219 ,  ,Location map
457,456,HS:43041, Concordia L. H. S. S. Peroorkada ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  8 - 12,2438259 ,  ,Location map
458,457,HS:43042, Salvation Army H. S. S. Kawdiar ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 12,04712315488 ,  ,Location map
459,458,HS:43043, Christ Nagar E. H. S. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  5 - 12,2318485 ,  ,Not Available
460,459,HS:43044, Nirmala Bhavan Girls H. S. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Unaided Recognised,  1 - 12,04712317772 ,  ,Not Available
461,460,HS:43045, R. K. D. N. S. S. H. S. Sasthamangalam ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Vattiyoorkavu,Aided,  5 - 12,04712724374 ,  ,Location map
462,461,HS:43046, Shree Vidyadhi Raja Vidya Mandir Vellayambalam  ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 -10,04712729286 ,  ,Not Available
463,462,HS:43047, St. Joseph`s H. S. S. Thiruvananthapuram ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 12,04712471720 ,  ,Location map
464,463,HS:43048, Holy Angel`s Convent H. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  1 - 12,04712476166 ,  ,Not Available
465,464,HS:43050, Govt. Girls V. H. S. S. Pettah ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712479791 ,  ,Location map
466,465,HS:43051, Govt. H. S. Vanchiyoor ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  1 -10,04712460179 ,  ,Location map
467,466,HS:43052, Govt. H. S. S. Pettah ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712474081 ,  ,Location map
468,467,HS:43053, G. V. Raja Sports School Mylam ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  6-12,04722889100 ,  ,Location map
469,468,HS:43054, St. Mary`s H. S. S. Vettukad ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 12,04712500935 ,  ,Location map
470,469,HS:43055, N. S. S. H. S. S. Palkulangara ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 12,04712450381 ,  ,Location map
471,470,HS:43056, Govt. H. S. Karikkakom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Kazhakkoottam,Government,  1 -10,04712502444 ,  ,Location map
472,471,HS:43057, Fort Boys H. S. ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 10,04712469697 ,  ,Location map
473,472,HS:43059, Fort Girls Mission H. S. Fort ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 10,04712451160 ,  ,Location map
474,473,HS:43060, Govt. H. S. Sanskrit Fort ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 10,04712479249 ,  ,Location map
475,474,HS:43061, St. Antony`s H. S. S. Valiyathura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  8 - 12,2500635 ,  ,Location map
476,475,HS:43062, Haji C. H. M. K. M. H. S. Vallakadavu ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  8 - 12,04712501040 ,  ,Location map
477,476,HS:43063, Govt. Regional Fisheries Techenical H. S. Valiyathura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  8 - 12,04712502813 ,  ,Location map
478,477,HS:43064," St. Roch's High School, Thope ",,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  5 - 10,2501650 ,  ,Location map
479,478,HS:43065, St. Philomina`s Girls H. S. Poonthura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  1 -10,04712381285 ,  ,Location map
480,479,HS:43066, St. Thomas H. S. S. Poonthura ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Aided,  1 - 12,04712381183 ,  ,Location map
481,480,HS:43067, B. N. V. V. And H. S. S. Thiruvallom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  5 - 12,04712381675 ,  ,Location map
482,481,HS:43068, V. H. S. S. For Girls Thiruvallom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Aided,  5 - 12,2383275 ,  ,Location map
483,482,HS:43069, Govt. H. S. Vazhamuttom ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 -10,2481776 ,  ,Location map
484,483,HS:43070, Govt. H. S. S. Kamaleswaram ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Nemom,Government,  1 - 12,04712458806 ,  ,Location map
485,484,HS:43071, Beema Mahin E. M. H. S. Beemapalli ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Unaided Recognised,  8 - 12,04712500075 ,  ,Not Available
486,485,HS:43072, Govt. V. And H. S. S. for Girls Manacuad ,,Thiruvananthapuram(C),"Thiruvananthapuram
",Thiruvananthapuram,Government,  5 - 12,04712471459 ,  ,Location map
