,0,1,2,3,4,5,6,7,8,9,10,11
59,58,HS:42058, G M H S S Varkala ,,Varkala(M),"Attingal *
",Varkala,Government,  5 - 12,04702602278 ,  ,Location map
60,59,HS:42059, Govt. V & H.S.S. Vithura ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  8 - 12,04722856202 ,  ,Location map
61,60,HS:42060, Govt. H.S. Anappara ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722856509 ,  ,Location map
62,61,HS:42061, Govt. H.S.S. Tholicode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  5 - 12,04722879595 ,  ,Location map
63,62,HS:42062, V.K.Kani Govt. H.S. Panacode ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722879633 ,  ,Location map
64,63,HS:42063, G H S S Vettoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 12,04702602023 ,  ,Location map
65,64,HS:42064, R R V   G H S S Kilimanoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Aided,  5 - 12,04702672185 ,  ,Location map
66,65,HS:42065, Govt. HSS Thattathumala ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702649646 ,  ,Location map
67,66,HS:42066, Govt. V & H S S Karakulam ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Government,  8 - 12,04712371822 ,  ,Location map
68,67,HS:42067, Iqbal H.S.S. Peringammala ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  8 - 12,04722845543 ,  ,Location map
69,68,HS:42068, G H S Cherunniyoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  8 - 12,04702601101 ,  ,Location map
70,69,HS:42069, Govt. HS Nagaroor Nedumparampu ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702678467 ,  ,Location map
71,70,HS:42070, Janatha H S S Thempammood ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Aided,  5 - 12,04722829119 ,  ,Location map
72,71,HS:42071, Govt. V.H.S.S. Kallara ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 - 12,04722860805 ,  ,Location map
73,72,HS:42072, Govt. H S S Azhoor ,Pothencode,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 12,04702635586 ,  ,Location map
74,73,HS:42073, SNVHSS Panayara ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 12,9496390022 ,  ,Location map
75,74,HS:42074, A K M HS Kudavoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  8 - 10,04702690753 ,  ,Location map
76,75,HS:42075, Govt. HS Koduvazhannoor ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 12,04702678045 ,  ,Location map
77,76,HS:42076, Govt. T.H.S. Idinjar ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 -10,04722845122 ,  ,Location map
78,77,HS:42077, S S M E M H S Mudapuram ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Unaided Recognised,  1 - 12,04702642663 ,  ,Not Available
79,78,HS:42078, Vidhyadhiraja E M H S S Attingal ,,Attingal(M),"Attingal *
",Attingal,Unaided Recognised,  8 - 10,04702624461 ,  ,Not Available
80,79,HS:42079, Crescent H S Nedumangad ,Nedumangad,Thiruvananthapuram(P),"Attingal *
",Nedumangad,Unaided Recognised,  1 -10,04722802634 ,  ,Not Available
81,80,HS:42080, KTCT EM HSS Kaduvayil ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Unaided Recognised,  1 - 12,04702693860 ,  ,Not Available
82,81,HS:42081, Gem Know Model H S S Melvettor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702600601 ,  ,Not Available
83,82,HS:42082, S H C H S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 -10,04702659271 ,  ,Not Available
84,83,HS:42083, S N E M H S Saradagiri Varkala ,,Varkala(M),"Attingal *
",Varkala,Unaided Recognised,  1 -10,9447666301 ,  ,Not Available
85,84,HS:42084, Govt. HS Ponganad ,Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 -10,04702651770 ,  ,Not Available
86,85,HS:42085, Govt. H S Ayilam ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 -10,04702639369 ,  ,Not Available
87,86,HS:42086, Govt. High School Jawahar Colony ,Vamanapuram,Thiruvananthapuram(P),"Attingal *
",Vamanapuram,Government,  1 -10,04722876825 ,  ,Not Available
88,87,HS:42087, Govt. H.S. Chettachal ,Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  1 -10,04722849536 ,  ,Not Available
89,88,HS:42088, Govt. H S Kudavoorkonam ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 -10,04702629040 ,  ,Not Available
90,89,HS:42099, LOVEDALE CBSE HSS  ATTINGAL ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Unaided Recognised,  1 - 12,04702621910 ,  ,Not Available
91,90,HS:42110," SREE AUROVINDO PUBLIC SCHOOL, KARAVARAM ",Kilimanoor,Thiruvananthapuram(P),"Attingal *
",Attingal,Unaided Recognised,  1 -10,04702691447 ,  ,Not Available
92,91,HS:42151,"  JAWAHAR NAVAODAYA VIDYALAYA, THIRUVANANTHAPURAM ",Vellanad,Thiruvananthapuram(P),"Attingal *
",Aruvikkara,Government,  6-12,04722859664 ,  ,Not Available
93,92,LP:42201, G B B L P S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,2657111 ,  ,Location map
94,93,LP:42202, G L P S Cherunniyoor ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9446514884 ,  ,Location map
95,94,LP:42203, G M L P S Palachira ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4, ,  ,Location map
96,95,LP:42204, G M P L P S Elakamon ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702665544 ,  ,Location map
97,96,LP:42205, G Central L P S Elakamon ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04742668099 ,  ,Location map
98,97,LP:42206, G L P S Hariharapuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,8547517426 ,  ,Location map
99,98,LP:42207, G L P S Chilakkoor Panayil ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702601400 ,  ,Location map
100,99,LP:42208, G L P S Kappil ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702661926 ,  ,Location map
101,100,LP:42209, G A M L P S Kayikkara ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702658700 ,  ,Location map
102,101,LP:42210, G L P B S Kurakkanni ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,9447342489 ,  ,Location map
103,102,LP:42211, G L P G S Kurakkanni ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702611952 ,  ,Location map
104,103,LP:42212, G L P S Muthana ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,9995891931 ,  ,Location map
105,104,LP:42214, G M L P S Odetty ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702664009 ,  ,Location map
106,105,LP:42215, G L P S Panayara ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702603026 ,  ,Location map
107,106,LP:42216, G W L P S Poika ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702662726 ,  ,Location map
108,107,LP:42217, G L P S Sreenivasapuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702610126 ,  ,Location map
109,108,LP:42218, K G G L P S Thannimoodu ,Varkala,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9495433020 ,  ,Location map
110,109,LP:42219, G New L P S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,04702654566 ,  ,Location map
111,110,LP:42220, G L P B S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Attingal,Government,  1 - 4,9946749995 ,  ,Location map
112,111,LP:42221, G L P S Valayantakuzhy ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702611700 ,  ,Location map
113,112,LP:42222, G M V L P S Varkala ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,2613300 ,  ,Location map
114,113,LP:42223, G L P G S Varkala ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702611255 ,  ,Location map
115,114,LP:42224, G L P S Venkulam ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04702660160 ,  ,Location map
116,115,LP:42225, G L P S Vilabhagom ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,0470206171 ,  ,Location map
117,116,LP:42226, G W L P S Kayalppuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Government,  1 - 4,04722665826 ,  ,Location map
118,117,LP:42227, M M M G L P S Nedunganda ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Government,  1 - 4,04702606999 ,  ,Location map
119,118,LP:42228, G M L P S Chilakkoor ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702602600 ,  ,Location map
120,119,LP:42229, S H C L P S Anchuthengu ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702656726 ,  ,Location map
121,120,LP:42230, S N V L P S Chemmaruthy ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,04702693736 ,  ,Location map
122,121,LP:42231, S R V L P S Kadakkavoor ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,8848874329 ,  ,Location map
123,122,LP:42232, G L P S Karunnilacode  ,,Varkala(M),"Attingal *
",Varkala,Government,  1 - 4,04702051500 ,  ,Location map
124,123,LP:42233, St.Alloysius L P S Mampally ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702657251 ,  ,Location map
125,124,LP:42234, L M S L P S Vakkom ,Chirayinkeezh,Thiruvananthapuram(P),"Attingal *
",Chirayinkeezhu,Aided,  1 - 4,04702650809 ,  ,Location map
126,125,LP:42235, L P S Vencode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9495752552 ,  ,Location map
127,126,LP:42236, Mt.Carmel L P S Vennicode ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9846355044 ,  ,Location map
128,127,LP:42237, M L P S Vettoor Elappil ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,9496195960 ,  ,Location map
129,128,LP:42238, L M L P S Karippuram ,Varkala,Thiruvananthapuram(P),"Attingal *
",Varkala,Aided,  1 - 4,0470266088 ,  ,Location map
